model,seed,AUC,final_plateau,convergence_lower_bound,convergence_upper_bound,episodes_to_convergence
MC,1,0.9032171149890457,0.9118957317272591,0.893657817092714,0.9574905183136221,400
MC,2,0.9066051958164782,0.9169356153777448,0.8985969030701899,0.9627823961466321,760
MC,3,0.9118317787103882,0.9201738796728236,0.9017704020793671,0.9661825736564649,455
MC,4,0.902141579960667,0.9124108463002313,0.8941626293742266,0.9580313886152428,1305
MC,5,0.9073711210912777,0.9127321751522821,0.8944775316492365,0.9583687839098962,540
MC,7,0.9093890003237615,0.9144684365934114,0.8961790678615431,0.960191858423082,488
MC,8,0.9102435343283422,0.9147617783218338,0.8964665427553972,0.9604998672379256,650
MC,9,0.9076321996374895,0.9109338871906111,0.8927152094467988,0.9564805815501417,368
MC,10,0.9096440283382995,0.9045432906644045,0.8864524248511164,0.9497704551976248,244
MC,11,0.9043583909531571,0.9130959904533544,0.8948340706442873,0.9587507899760221,1057
MC,12,0.9092596708653153,0.9143587603576782,0.8960715851505245,0.9600766983755621,607
MC,13,0.9103240751935565,0.9145347470236063,0.8962440520831341,0.9602614843747866,442
MC,14,0.9083746249393766,0.9144074902455018,0.8961193404405918,0.960127864757777,528
MC,15,0.909094874620802,0.9207534740591515,0.9023384045779684,0.9667911477621092,805
MC,16,0.9024503160208819,0.913950663050079,0.8956716497890774,0.959648196202583,670
MC,18,0.8997164315419831,0.9174269208185134,0.8990783824021431,0.9632982668594391,1382
MC,20,0.9046064000887815,0.9126142108418928,0.8943619266250549,0.9582449213839874,727
MC,42,0.9040014654583869,0.9135566518293081,0.8952855187927219,0.9592344844207735,1066
TD WITHOUT EF,1,0.915046253378864,0.9164270539171863,0.8980985128388426,0.9622484066130457,443
TD WITHOUT EF,2,0.9161370595405123,0.923946647099578,0.9054677141575864,0.9701439794545569,435
TD WITHOUT EF,3,0.862609572124485,0.8246312727147344,0.8081386472604396,0.8658628363504711,2281
TD WITHOUT EF,4,0.9172918742330817,0.9210508980459275,0.902629880085009,0.9671034429482239,332
TD WITHOUT EF,5,0.9165277726783114,0.9137146530715421,0.8954403600101112,0.9594003857251192,273
TD WITHOUT EF,7,0.915363761663408,0.9199204270905177,0.9015220185487073,0.9659164484450437,328
TD WITHOUT EF,8,0.918243503840164,0.9184276443728201,0.9000590914853637,0.9643490265914612,271
TD WITHOUT EF,9,0.9163938301421622,0.9186831295735735,0.900309466982102,0.9646172860522522,369
TD WITHOUT EF,10,0.9146000593361231,0.9173318380210549,0.8989852012606337,0.9631984299221077,446
TD WITHOUT EF,11,0.9157956902653608,0.9160618851416925,0.8977406474388586,0.9618649793987771,421
TD WITHOUT EF,12,0.9133463674447496,0.9178576839136765,0.899500530235403,0.9637505681093603,312
TD WITHOUT EF,13,0.9137620566086739,0.9155009532216787,0.897190934157245,0.9612760008827627,421
TD WITHOUT EF,14,0.8853032919797122,0.9041585349872168,0.8860753642874725,0.9493664617365777,289
TD WITHOUT EF,15,0.8896445209695156,0.8373546426785486,0.8206075498249776,0.8792223748124761,0
TD WITHOUT EF,16,0.9141177005401119,0.9243922444730458,0.9059043995835848,0.9706118566966981,560
TD WITHOUT EF,18,0.9177188513714551,0.9224855189357172,0.9040358085570028,0.9686097948825031,320
TD WITHOUT EF,20,0.901028420128918,0.8866520426987653,0.86891900184479,0.9309846448337036,133
TD WITHOUT EF,42,0.907026922839066,0.8880836400500519,0.8703219672490509,0.9324878220525545,213
TD_EF,1,0.9189628996010244,0.9168607647805692,0.8985235494849578,0.9627038030195977,163
TD_EF,2,0.9200858455680395,0.9256697995112466,0.9071564035210217,0.971953289486809,155
TD_EF,3,0.9197109194923382,0.9272470055141895,0.9087020654039056,0.973609355789899,173
TD_EF,4,0.9204549010247094,0.9212971889517607,0.9028712451727254,0.9673620483993488,175
TD_EF,5,0.9203237453323262,0.9149712520844264,0.8966718270427378,0.9607198146886478,138
TD_EF,7,0.9203054731740734,0.9201840861741486,0.9017804044506657,0.9661932904828561,153
TD_EF,8,0.9215845654973133,0.9192964387640327,0.900910509988752,0.9652612607022344,163
TD_EF,9,0.9201105934465316,0.9193132520692159,0.9009269870278316,0.9652789146726767,166
TD_EF,10,0.9199162665762743,0.9181734607667642,0.8998099915514289,0.9640821338051024,146
TD_EF,11,0.9197453987957647,0.9183949439484624,0.9000270450694932,0.9643146911458856,153
TD_EF,12,0.9199652734654218,0.920389042864631,0.9019812620073383,0.9664084950078625,122
TD_EF,13,0.9204623627319335,0.9157981368090441,0.8974821740728632,0.9615880436494963,147
TD_EF,14,0.9198270019407233,0.9191759411741387,0.9007924223506559,0.9651347382328457,173
TD_EF,15,0.9209575505709839,0.9299775098748181,0.9113779596773217,0.9764763853685591,205
TD_EF,16,0.9197341106047545,0.9247667608434699,0.9062714256266005,0.9710050988856435,198
TD_EF,18,0.9208481878493907,0.9235978519388093,0.905125894900033,0.9697777445357498,185
TD_EF,20,0.918576030358995,0.9175249146459272,0.8991744163530087,0.9634011603782237,202
TD_EF,42,0.919284160436893,0.9188977835871556,0.9005198279154124,0.9648426727665134,178
