model,seed,utilization_mean,utilization_std,optimality_gap_mean,optimality_gap_std,actor_loss_mean,critic_loss_mean,gradient_variance_mean,gradient_variance_std,gradient_norm_mean,gradient_norm_std
MC,1,0.9032159969628734,0.03508279257996682,0.10479472617915005,0.045990518329834806,-0.006527441910747438,134.13658577355667,0.008075994791020589,0.02913157346114217,14.95548329904899,27.147070311333906
MC,2,0.9065997959008238,0.03493297689188526,0.1006320821096098,0.0464846045870029,0.2934900207882631,104.79910994579122,0.0069924118331618455,0.02166341519500469,13.847446435799636,26.31746537986059
MC,3,0.9118096687649025,0.03771947209115562,0.09471056902230694,0.049030493917506954,-0.5394024480738203,100.09323084909428,0.005047913915752678,0.02088144744026375,9.282723128713295,22.695283422635484
MC,4,0.9021327828503487,0.03919578287610975,0.10649130996260824,0.05178940161604961,1.0394993927970528,118.6107463725075,0.007630891116346126,0.03244967187627852,12.277390652540326,26.320063830395686
MC,5,0.9073636421389272,0.03383715769124988,0.099455092671557,0.04465194676063165,0.16379574051088375,112.35796599725548,0.007994109025264285,0.028954657786335124,12.192840938313678,29.15671845947987
MC,7,0.9093856850009281,0.033838267225834405,0.09714034225567497,0.04434082672106918,0.705855850667134,120.30527732779831,0.005159869020653374,0.024755833303125148,11.00738798263818,20.452200818426046
MC,8,0.910243663974853,0.03557699014938887,0.09616439350858273,0.04712111544845671,0.0015670479641226769,118.02008252886894,0.006163631078771092,0.02283324006632419,12.096247683763504,24.061268532842888
MC,9,0.9076244749573963,0.03258751768623027,0.09908425934521892,0.04329014826638852,-0.32965004996806385,120.65962449564934,0.0066942078862455194,0.022035349933140606,11.028011014257372,28.563554256915204
MC,10,0.9096397950628974,0.03918222134229489,0.09723848558360439,0.051142651738506774,-0.44034908779612053,102.20987969721894,0.007757499038691408,0.031033698575913104,12.627357721112295,27.17507509328982
MC,11,0.904357165659446,0.03612781794222582,0.1033808340610239,0.04762705129650724,0.4403517751619656,100.33120508508125,0.0032825139039362947,0.008162128207319555,10.317596984693687,18.388949342413422
MC,12,0.9092631836673069,0.03890799613282533,0.09769038366930434,0.05096774038191059,-0.1528797325986531,110.06920648276301,0.009336405013948338,0.03167500148877358,15.03793752488792,30.63993123158166
MC,13,0.9103142326007401,0.043034760306913514,0.09690946446880898,0.0558671912501925,-0.9906127568626385,129.1540622685271,0.0073736346022239985,0.02316144575820463,14.33497820409164,26.891310543391054
MC,14,0.9083702112875982,0.03570225551270983,0.09864001764163446,0.04723187296817193,-0.2698960820092205,100.11264307783732,0.006836312188523832,0.025072018831621613,12.606934337003157,25.819864503399618
MC,15,0.9090884536256757,0.03475802551099149,0.0974196336058952,0.04535519806929009,-0.06401076109135283,128.657110583757,0.00798302788593423,0.03203874546120994,10.66413291684501,29.587056882564312
MC,16,0.9024508453724985,0.03784377833189946,0.10597694770921597,0.05000501450961299,-0.04568258522539089,115.67382058116033,0.012607601879941598,0.04135664549618521,15.85921419109553,38.84211269882777
MC,18,0.8997155710160518,0.03995265713156444,0.1094319563550308,0.05211769415494574,0.9606789351406886,125.7429654409381,0.009709023425709845,0.030128430797835837,15.235729415051638,32.88483425108052
MC,20,0.9045975335324391,0.04099717238186539,0.10380543876842127,0.05443996477864115,0.14290353428213717,120.12596948096508,0.0053788351307826315,0.016923587062255493,12.957967586183548,22.825714585745278
MC,42,0.9040003888251478,0.03726109676607976,0.10402730337985679,0.04907392529898993,0.36728393326574243,101.04965841425518,0.007531310753135719,0.03506239130291862,12.185763666793518,25.43432866626021
TD WITHOUT EF,1,0.915043692846137,0.05551255959735125,0.09300085752093284,0.07004631106142328,-0.02361272770923969,0.6858608243144466,5.7394895480816675e-05,0.00019768312181572454,1.0239784853173448,2.6032206035010215
TD WITHOUT EF,2,0.9161297532521132,0.05448771558004961,0.09149096434917973,0.06859863877898002,-0.02658705636650999,0.6579324979794958,2.231598572604798e-05,4.9606407243882896e-05,0.8053659151304339,1.5945985098527442
TD WITHOUT EF,3,0.8625973066203165,0.07115877271371845,0.1635810646857691,0.10395574711809272,-0.050168675924721226,0.8628403256724201,9.556967189281086e-05,9.450028588374174e-05,1.9515238452431747,3.42906808359442
TD WITHOUT EF,4,0.917280047063909,0.054015208802235,0.0900098389548108,0.0679514974246719,-0.02380521717356033,0.6415576687683794,2.727560751900291e-05,2.5626909792601748e-05,1.1147096709876247,1.7836934873011412
TD WITHOUT EF,5,0.9165165300284934,0.05355076011849623,0.09077445352662374,0.06755048993461907,-0.025256135034020476,0.6593562054343373,3.617522227882108e-05,8.53314635688446e-05,1.0508619745731775,1.966500093104274
